Model,Original R²,Synthetic R²,Original MAE,Synthetic MAE,Original RMSE,Synthetic RMSE
Random Forest,0.7353200247348767,0.5812728965360785,0.685170967741935,1.0818204933737257,1.487818597488368,1.3632832923293596
Gradient Boosting,0.7074102754158038,0.6873203509753372,0.7266800453293738,0.8790072065177001,1.564296146245347,1.178068066046026
Neural Network,0.6596183150505728,0.9316972373217115,0.645874894597838,0.3993899597590581,1.6872231756032667,0.5506044421944417
SVR,0.31959761125452346,0.7424272002994023,0.8006834687240934,0.770082704226738,2.38546118948285,1.0692286202776038
